Project Id;Region;Country;Project Status;project_name;Project Development Objective;Implementing Agency;Consultant Services Required;Project URL;Board Approval Date;Project Closing Date;Financing Type;Current Project Cost
P107146;Latin America and Caribbean;Federative Republic of Brazil;Active;Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE;The objective of the Project is to contribute to the Borrower's efforts to promote social and economic inclusion of its rural and ur ban poor, including its poorest and most disadvantaged population living in isolated areas in the Borrower's territory.;Secretaria de Estado de Planejamento e Gestão - SEPLAG;;https://projects.worldbank.org/en/projects-operations/project-detail/P107146;2008-12-18T00:00:00Z;2021-12-31T00:00:00Z;;150000000
P153541;East Asia and Pacific;People's Republic of China;Active;Shaanxi Poor Rural Areas Community Development Project;The Project Development Objective is to increase incomes of targeted beneficiaries in selected poor counties of Shaanxi.;Shaanxi Provincial Office of Poverty Alleviation and Development;;https://projects.worldbank.org/en/projects-operations/project-detail/P153541;2017-02-09T00:00:00Z;2022-12-31T00:00:00Z;;150040000
P132873;East Asia and Pacific;People's Republic of China;Active;Hebei Rural Renewable Energy Development Project;The Project Development Objective (PDO) is to demonstrate sustainable biogas production and utilization to reduce environmental pollution and supply clean energy in rural areas of Hebei Province.;Hebei Provincial Agriculture Department;;https://projects.worldbank.org/en/projects-operations/project-detail/P132873;2015-03-13T00:00:00Z;2021-12-31T00:00:00Z;;150780000
P156334;East Asia and Pacific;Kingdom of Tonga;Active;Pacific Resilience Program;The objective of the Project is to strengthen early warning, resilient investments and financial protection of Tonga.;Ministry of Finance and National Planning, Ministry of Environment, Energy, Climate Change, Disaster Mgmt, Meteorology, Information and Comms;;https://projects.worldbank.org/en/projects-operations/project-detail/P156334;2015-06-19T00:00:00Z;2022-10-31T00:00:00Z;;15079452
P171339;Africa East;Republic of Uganda;Active;Uganda: Roads and Bridges in the Refugee Hosting Districts/Koboko-Yumbe-Moyo Road Corridor Project;"The Project Development Objectives are to enhance: (a) road transport connectivity in select refugee hosting districts of Uganda; an d (b) the capacity of Uganda National Roads Authority to manage environmental, social and road safety risks.";Uganda National Roads Authority;No;https://projects.worldbank.org/en/projects-operations/project-detail/P171339;2020-09-10T00:00:00Z;2025-12-31T00:00:00Z;;150800000
P132562;East Asia and Pacific;People's Republic of China;Active;CN-Hubei Xiaogan Logistics Infrastructure;To enhance the connectivity and efficiency of the logistics operations of the Xiaogan Logistics Park in Hubei Province.;Xiaogan Airport Economic Zone Management Committee;;https://projects.worldbank.org/en/projects-operations/project-detail/P132562;2016-04-29T00:00:00Z;2022-12-31T00:00:00Z;;151020000
P168862;Europe and Central Asia;Western Balkans;Active;Sava and Drina Rivers Corridors Integrated Development Program;The Objective of the Project (Phase I of the Program) is to improve flood protection and enhance transboundary water cooperation in the Sava and Drina Rivers Corridors.;Republic of Serbia Ministry of Agriculture, Forestry and Water Management, Montenegro Ministry of Agriculture and Rural Development, Republika Srpska Ministry of Agriculture, Forestry and Water;No;https://projects.worldbank.org/en/projects-operations/project-detail/P168862;2020-08-06T00:00:00Z;2026-07-30T00:00:00Z;;151500000
P121731;South Asia;Republic of India;Active;India: ICDS Systems Strengthening & Nutrition Improvement Program (ISSNIP);To improve the coverage and quality of ICDS nutrition services to pregnant and lactating women and children under 3 years of age;Ministry of Women and Child Development;;https://projects.worldbank.org/en/projects-operations/project-detail/P121731;2012-09-06T00:00:00Z;2022-08-30T00:00:00Z;;151500000
P150001;South Asia;People's Republic of Bangladesh;Active;RERED II Additional Financing;Increase access to clean energy through renewable energy in rural areas.;;;https://projects.worldbank.org/en/projects-operations/project-detail/P150001;2014-06-19T00:00:00Z;;;151600000
P173855;Africa East;Republic of Rwanda;Active;Rwanda COVID-19 Emergency Response Project;The objective of the Project is to prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for p ublic health preparedness in the Republic of Rwanda.;Rwanda Biomedical Center;;https://projects.worldbank.org/en/projects-operations/project-detail/P173855;2020-04-07T00:00:00Z;2023-06-30T00:00:00Z;;15192857
P149277;Africa West;Republic of Togo;Active;Togo:  Mining Governance and Development Project;The Project Development Objective is to strengthen efficiency and accountability of key organizations responsible for management of the mining sector;Ministry of Mines and Energy;;https://projects.worldbank.org/en/projects-operations/project-detail/P149277;2015-11-19T00:00:00Z;2021-12-31T00:00:00Z;;15200000
P174041;Africa East;Republic of Uganda;Active;Uganda COVID-19 Response and Emergency Preparedness Project;The objective of the Project is to prevent, detect and respond to COVID-19 and strengthen national systems for public health emergen cy preparedness in Uganda.;Ministry of Health;;https://projects.worldbank.org/en/projects-operations/project-detail/P174041;2020-07-15T00:00:00Z;2022-12-31T00:00:00Z;;15200547
P132505;Latin America and Caribbean;Republic of Peru;Active;Cusco Transport Improvement Project;The overall PDO is to improve mobility in the east-west corridor of Cusco Provincial Municipality (San Jeronimo – Distrito de Cusco).;COPESCO;;https://projects.worldbank.org/en/projects-operations/project-detail/P132505;2014-02-28T00:00:00Z;2023-10-31T00:00:00Z;;152600000
P143307;Africa East;Eastern Africa;Active;AFR RI-Regional Great Lakes Integrated Agriculture Development Project;"The project development objectives (PDO) are (i) to increase agricultural productivity and commercialization in targeted areas in the territory of the Recipient and improve agricultural regional integration; and (ii) to provide immediate and effective response i n the event of an eligible crisis or emergency.";Minstry of Agriculture and rural Development, South Kivu Ministry of Agriculture;;https://projects.worldbank.org/en/projects-operations/project-detail/P143307;2016-06-21T00:00:00Z;2021-12-31T00:00:00Z;;152700000
P152881;Europe and Central Asia;Republic of Kosovo;Active;KOSOVO: COMPETITIVENESS AND EXPORT READINESS PROJECT;To support product certification for export markets, strengthen the capacity of export-oriented firms and reduce the cost of busines s inspections.;Ministry of Industry, Entrepreneurship and Trade;;https://projects.worldbank.org/en/projects-operations/project-detail/P152881;2017-05-18T00:00:00Z;2022-10-30T00:00:00Z;;15273000
P175036;Middle East and North Africa;Republic of Yemen;Active;Yemen Restoring Education and Learning Emergency Project;The project development objective is to maintain access to basic education, improve conditions for learning and strengthen education  sector capacity in selected districts of the Republic of Yemen.;World Food Programme (WFP), Save the Children International, United Nations Children's Fund (UNICEF);;https://projects.worldbank.org/en/projects-operations/project-detail/P175036;2020-12-17T00:00:00Z;2024-12-16T00:00:00Z;;152800000
P130544;South Asia;Republic of India;Active;IN Karnataka Urban Water Supply Modernization Project;<p>The Project Development Objective is to provide city-wide access to a continuous piped water supply in the eligible cities in the  state of Karnataka, and to strengthen service delivery arrangements at the city level.</p>;Karnataka Urban Infrastructure Development & Finance Corporation (KUIDFC);;https://projects.worldbank.org/en/projects-operations/project-detail/P130544;2016-03-31T00:00:00Z;2024-11-22T00:00:00Z;;153000000
P171892;Europe and Central Asia;Republic of Tajikistan;Active;Tax Reform Operation;To simplify the tax system, enhance quality of taxpayer services, and improve voluntary compliance.;Tax Committee under the Government of Tajikistan;;https://projects.worldbank.org/en/projects-operations/project-detail/P171892;2021-05-28T00:00:00Z;2026-12-31T00:00:00Z;;153020000
P133633;Europe and Central Asia;Republic of Uzbekistan;Active;Additional Financing Energy Efficiency - Industrial Enterprises;The project objective is to improve energy efficiency in Industrial Enterprises (IEs) by designing and establishing a financing mechanism for energy saving investments.;;;https://projects.worldbank.org/en/projects-operations/project-detail/P133633;2013-04-26T00:00:00Z;;;153125000
P122764;Africa East;Federal Democratic Republic of Ethiopia;Active;Ethiopia Women Entrepreneurship Development Project;"The project development objective of the WEDP is to increase the earnings and employment of MSEs owned or partly owned by the participating female entrepreneurs in the targeted cities. This will be achieved by: i) tailoring financial instruments to the needs of the participants and ensuring availability of finance; and ii) developing the entrepreneurial and technical skills of the target group and supporting cluster, technology and product development for their businesses.";Development Bank of Ethiopia (DBE), Federal Urban Job Creation and Food Security Agency (FUJCFSA);;https://projects.worldbank.org/en/projects-operations/project-detail/P122764;2012-05-24T00:00:00Z;2024-12-31T00:00:00Z;;153300000
P159238;East Asia and Pacific;Socialist Republic of Vietnam;Active;Central Highlands Connectivity Improvement Project;To improve the connectivity, safety and climate-resilience of the National Highway 19.;Projects Management Unit No. 2;;https://projects.worldbank.org/en/projects-operations/project-detail/P159238;2017-06-22T00:00:00Z;2023-06-30T00:00:00Z;;153700000
P145101;Africa East;Republic of Uganda;Active;Uganda: Albertine Region Sustainable Development Project;To improve regional and local access to infrastructure, markets, and skills development in the Albertine Region.;Uganda National Roads Authority, Ministry of Lands, Housing and Urban Development, Ministry of Education and Sports;;https://projects.worldbank.org/en/projects-operations/project-detail/P145101;2014-03-26T00:00:00Z;2022-12-31T00:00:00Z;;153890000
P165501;Africa West;Islamic Republic of Mauritania;Active;Mauritania Public Sector Governance Project Additional Financing;The revised Project Development Objective (PDO) is to enhance transparency and improve the mobilization, allocation and management o f public resources;Ministry of Economy and Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P165501;2018-07-12T00:00:00Z;;;15400000
P153064;Africa West;Republic of Sierra Leone;Active;Health Service Delivery & System Support Project;"The project development objective (PDO) of the Health Service Delivery and System Support Project is to (a) increase the utilization and improve the quality of essential maternal and child health services; and (b) in the event of an Eligible Crisis or Emergency, to provide immediate and effective response to said Eligible Crisis or Emergency.";Ministry of Health and Sanitation;;https://projects.worldbank.org/en/projects-operations/project-detail/P153064;2016-06-23T00:00:00Z;2021-12-31T00:00:00Z;;15500000
P161658;Africa West;Western Africa;Active;WAEMU Affordable Housing Finance;The development objective is to expand access to long-term housing finance in WAEMU, including for underserved households.;CRRH, WAEMU Commission;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P161658;2017-09-28T00:00:00Z;2022-12-31T00:00:00Z;;155000000
P170943;Africa East;Federal Democratic Republic of Ethiopia;Active;Additional Financing to GEQIP-E;The Program Development Objective (PDO) is to improve internal efficiency, equitable access, and quality in general education (O-Cla ss to Grade 12);Ministry of Education;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P170943;2021-03-02T00:00:00Z;;;1552700000
P161534;South Asia;People's Republic of Bangladesh;Active;Climate-Smart Agriculture and Water Management Project;To enhance climate resilience and productivity of irrigated agriculture and fisheries in targeted schemes;Bangladesh Water Development Board, Department of Agricultural Extension, Department of Fisheries;;https://projects.worldbank.org/en/projects-operations/project-detail/P161534;2021-03-09T00:00:00Z;2026-06-30T00:00:00Z;;155310000
P133017;East Asia and Pacific;People's Republic of China;Active;Guilin Integrated Environment Management;The proposed project objective is to improve the water and sanitation services in Guilin;Guilin PMO;;https://projects.worldbank.org/en/projects-operations/project-detail/P133017;2015-02-02T00:00:00Z;2021-12-31T00:00:00Z;;155460000
P156377;Europe and Central Asia;Republic of Azerbaijan;Active;Azerbaijan Highway 3 Additional Financing;“To contribute to a more efficient and safer Baku-Shamakhi and Yenikend-Shorsulu roads and higher quality road services as part of the general network upgrading to motorway standard, and to improve the management of the nascent motorway network.”;;;https://projects.worldbank.org/en/projects-operations/project-detail/P156377;2016-03-28T00:00:00Z;;;155500000
P119085;South Asia;Republic of India;Active;IN National Ganga River Basin Project;"The objectives of the project are to support the National Ganga River Basin Authority (NGRBA) in: (a)building capacity of its nascent operational-level institutions, so that they can manage the long-term Ganga clean-up and conservation program; and(b)implementing a diverse set of demonstrative investments for reducing point-source pollution loads in a sustainable manner, at priority locations on the Ganga.";Ministry of Jal Shakti, Department of Water Resources, River Development and Ganga Rejuvenation, National Mission for Clean Ganga;;https://projects.worldbank.org/en/projects-operations/project-detail/P119085;2011-05-31T00:00:00Z;2021-12-30T00:00:00Z;;1556000000
P174707;Latin America and Caribbean;Republic of Haiti;Active;Promoting an Efficient Education System in Haiti;The Project Development Objective is to improve the Ministry of Education's planning and regulatory functions and the learning asses sment system.;"Ministère de l’Education et Formation Professionnelle; MENFP";;https://projects.worldbank.org/en/projects-operations/project-detail/P174707;2021-06-25T00:00:00Z;;;15600000
P149872;Latin America and Caribbean;United Mexican States;Active;Energy Efficiency in Public Facilities Project (PRESEMEH);The objective is to promote the efficient use of energy in the Borrower’s municipalities and other eligible public facilities by car rying out energy efficiency investments in selected public sectors and to contribute to strengthening the enabling environment.;Secretaría de Energía (SENER);;https://projects.worldbank.org/en/projects-operations/project-detail/P149872;2016-03-08T00:00:00Z;2021-10-31T00:00:00Z;;156000000
P132982;Europe and Central Asia;Republic of Albania;Active;Results-based Road Maintenance and Safety Project;The Project Development Objectives are to: (a) maintain the condition and improve the safety of Borrower's Primary Road and Primary-Secondary Road networks, and (b) strengthen sustainable and efficient road asset management and safety practices, for the benefit of road-users.;Albanian Road Authority;;https://projects.worldbank.org/en/projects-operations/project-detail/P132982;2015-03-27T00:00:00Z;2021-12-31T00:00:00Z;;156000000
P145741;Africa West;Republic of Ghana;Active;Ghana Secondary Education Improvement Project;The Project Development Objective is to increase access to senior secondary education in underserved districts and improve quality in low-performing senior high schools in Ghana.;Ministry of Education, Ghana Education Service;;https://projects.worldbank.org/en/projects-operations/project-detail/P145741;2014-05-20T00:00:00Z;2021-11-30T00:00:00Z;;156000000
P154351;Latin America and Caribbean;Republic of Haiti;Active;Haiti Modern Energy Services For All;The Project Development Objective is to accelerate private sector-driven, renewable energy-based off-grid electrification in rural a nd peri-urban areas of Haiti.;MTPTC - Ministry of Public Works, Transport and Communications;Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P154351;2017-10-25T00:00:00Z;2028-04-30T00:00:00Z;;15650000
P149743;Europe and Central Asia;Montenegro;Active;Revenue Administration Reform Project;The development objective of the project is to improve the effectiveness of operational functions of Montenegro’s tax administration  and to reduce the compliance costs for corporate taxpayers.   The project supports Montenegro’s long-term vision of a revenue adm inistration that operates with streamlined risk-based business processes that contribute to the efficient collection of taxes and so cial contributions from all sources of economic activity.  Increased compliance will generate a more robust revenue stream to provid e essential services to citizens.  Improvements in revenue administration capacity will also support the country's goal for EU acces sion and economic integration with EU member states.;Montenegro Tax Administration;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P149743;2017-07-31T00:00:00Z;2023-03-31T00:00:00Z;;15700000
P145120;East Asia and Pacific;The Independent State of Papua New Guine;Active;RMRP II, Additional Financing;"The project development objectives are to: (i) improve road transport to project areas through providing satisfactory physical condition and safety in selected roads; and (ii) strengthen institutional arrangements for road maintenance, including the participationof the private sector and communities; and (iii) enhance road-related economic opportunities for women.";;;https://projects.worldbank.org/en/projects-operations/project-detail/P145120;2014-02-19T00:00:00Z;;;157000000
P051572;Africa West;Republic of Cote d'Ivoire;Active;DEBT&DEBT REDUCTION;;;;https://projects.worldbank.org/en/projects-operations/project-detail/P051572;1997-07-10T00:00:00Z;;;157000000
P146059;Africa East;Republic of Mozambique;Active;Cities and Climate Change PPCR AF;The PDO is to strengthen institutional capacity for local revenue enhancement and land use management in targeted municipalities, an d to enhance climate resilience in the coastal cities of Beira and Maputo.;;;https://projects.worldbank.org/en/projects-operations/project-detail/P146059;2014-10-23T00:00:00Z;;;15750000
P162004;Europe and Central Asia;Republic of Turkey;Active;Education Infrastructure for Resilience (EU Facility for SuTP);The objective of the Project is to support Turkey in improving access to education by Syrians under temporary protection (SuTP) and host communities through the expansion of disaster resilient education infrastructure in priority provinces.;Ministry of National Education - General Directorate for Real Estate and Construction;;https://projects.worldbank.org/en/projects-operations/project-detail/P162004;2017-02-08T00:00:00Z;2022-12-31T00:00:00Z;;157777500
P085375;East Asia and Pacific;Republic of Indonesia;Active;Third Water Supply and Sanitation for Low-Income Communities / Community Based Water Supply Project (PAMSIMAS III);To increase the number of under-served rural and peri-urban populations accessing sustainable water supply and sanitation services;DG Community Health, Ministry of Health, DG Village Government, Ministry of Home Affairs, DG Regional Development, Ministry of Home Affairs, Ministry of Public Works and Housing;;https://projects.worldbank.org/en/projects-operations/project-detail/P085375;2006-06-27T00:00:00Z;2021-12-31T00:00:00Z;;1577830000
P163255;Latin America and Caribbean;Republic of Peru;Active;Peru Integrated Health Networks;"The objectives of this Project are to (i) improve the resolutive capacity and quality of public First-Level Health Services in Lima Metropolitan Area and Prioritized Regions; and (ii) increase the capacity of the Single Health Information System and the public sec tor’s pharmaceutical products and medical supplies provision system.";Ministry of Health;;https://projects.worldbank.org/en/projects-operations/project-detail/P163255;2019-01-31T00:00:00Z;2024-01-31T00:00:00Z;;157825000
P154454;Africa West;Republic of Sierra Leone;Active;Social Safety Nets Additional Financing;The project development objective is to establish the key building blocks for a basic national safety net system and to provide inco me support to extremely poor households in Sierra Leone.;;;https://projects.worldbank.org/en/projects-operations/project-detail/P154454;2015-08-06T00:00:00Z;;;15800000
P151086;East Asia and Pacific;Socialist Republic of Vietnam;Active;Vietnam Energy Efficiency for Industrial Enterprises(VEEIE);The Project Development Objective is to improve energy efficiency in Vietnam's industrial sector.;Ministry of Industry and Trade;;https://projects.worldbank.org/en/projects-operations/project-detail/P151086;2017-04-14T00:00:00Z;2022-07-31T00:00:00Z;;158000000
P143689;Middle East and North Africa;Kingdom of Morocco;Active;Clean and Efficient Energy Project;To support clean power generation and to improve operational efficiency of Morocco's national power utility.;Office National de l'Electricité et de l'Eau potable (ONEE);;https://projects.worldbank.org/en/projects-operations/project-detail/P143689;2015-04-24T00:00:00Z;2022-10-31T00:00:00Z;;158310000
P128605;Europe and Central Asia;Republic of Turkey;Active;SUSTAINABLE CITIES;The Project Development Objective is to improve the planning capacity of and access to targeted municipal services in participatingmunicipalities and utilities.;ILLER Bankasi-AF P11070;;https://projects.worldbank.org/en/projects-operations/project-detail/P128605;2016-12-20T00:00:00Z;2024-07-31T00:00:00Z;;158990000
P147605;Africa East;Republic of Rwanda;Active;Rwanda Third Rural Sector Support Project Additional Financing;"In line with the overall APL objective and its programmatic phasing, the Project Development Objectives (PDOs) for RSSP3 are to:(i)Increase the agricultural productivity of organized farmers in the marshlands and hillsides of sub-watersheds targeted for development in an environmentally sustainable manner;and(ii)Strengthen their participation in market-based value chains.";;;https://projects.worldbank.org/en/projects-operations/project-detail/P147605;2014-03-21T00:00:00Z;;;15900000
P155186;Africa East;Republic of Uganda;Active;Uganda Reproductive, Maternal and Child Health Services Improvement Project;"The objectives of the Project are to: (a) improve utilization of essential health services with a focus on reproductive, maternal, n ewborn, child and adolescent health services in target Districts; (b) scale up birth and death registration services; and (c) to pro vide imediate and effective response to an eligible crisis or emergency";Ministry of Health;;https://projects.worldbank.org/en/projects-operations/project-detail/P155186;2016-08-04T00:00:00Z;2022-12-31T00:00:00Z;;159535576
P167357;Africa East;Eastern Africa;Active;Support to Regional Knowledge Capacity;The Project development objective is to strengthen ACET’s capacity in the delivery of policy to action, implementation of Compact wi th Africa, and promoting private sector development, in selected countries.;African Center for Economic Transformation (ACET);;https://projects.worldbank.org/en/projects-operations/project-detail/P167357;2018-09-17T00:00:00Z;2021-11-30T00:00:00Z;;1600000
P163029;Africa East;Republic of Uganda;Active;LSMS-ISA Uganda National Panel Survey;This project aims to support the Uganda Bureau of Statistics in the design and implementation of the Uganda National Panel Survey, w hich is a national, multi-topic, longitudinal household survey with a principal focus on understanding dynamics in household welfare , livelihoods and agricultural outcomes, and their inter-relationships and with the ultimate intent of addressing data needs and fee ding into policy-making.;Uganda Bureau of Statistics;No;https://projects.worldbank.org/en/projects-operations/project-detail/P163029;2017-10-27T00:00:00Z;2022-05-30T00:00:00Z;;1600000
P174547;Africa West;Central African Republic;Active;AF for COVID-19 Response under the Service Delivery and Support to Communities Affected by Displacement Project;The PDO is to increase access to basic services, infrastructure and safety nets for communities affected by crises, including forced  displacement and COVID-19.;Ministry of Humanitarian Action and National Reconciliation;;https://projects.worldbank.org/en/projects-operations/project-detail/P174547;2020-12-04T00:00:00Z;;;16000000
P131353;Africa West;Western Africa;Active;Senegal River Basin Climate Change Resilience Development Project;"The revised MWRD2 PDO is to improve coordinated management of water resources in the Senegal River Basin. The revised GEO is to st rengthen OMVS capacity to integrate climate change into the coordinated management of water resources in the Senegal River basin.  In this context, ""coordinated management"" means the concerted development of water uses in the basin between OMVS member States whic h is ensured through two main mechanisms: (i) the Senegal River Basin Master Plan, approved by the Council of Ministers of the four member states in 2011: all activities financed by the project should be in accordance it and (ii) the regional Project steering comm ittee (Comité Regional du Pilotage du PGIRE) with representatives from the 4 member states which approves the Project annual impleme ntation plan and budget.";;;https://projects.worldbank.org/en/projects-operations/project-detail/P131353;2013-12-05T00:00:00Z;2022-12-30T00:00:00Z;;16000000
P170552;Europe and Central Asia;Georgia;Active;Energy Supply Reliability and Financial Recovery Guarantee;The objectives of the Project are to increase electricity supply reliability in the western part of Georgia, achieve the financial v iability of GSE, and help it access long-term commercial financing.;;No;https://projects.worldbank.org/en/projects-operations/project-detail/P170552;2019-05-23T00:00:00Z;2024-12-31T00:00:00Z;;160000000
P166177;Latin America and Caribbean;Republic of Colombia;Active;Additional Financing for Access and Quality in Higher Education Project - PACES;The objective of the project is to improve the quality of tertiary education in participating institutions and to increase the enrol lment of students from disadvantaged socioeconomic backgrounds in quality programs.;ICETEX;;https://projects.worldbank.org/en/projects-operations/project-detail/P166177;2018-03-29T00:00:00Z;;;160000000
P156210;Africa West;Republic of Cameroon;Active;Cameroon: Inclusive and Resilient Cities Development Project;The PDO is to improve urban management and access to infrastructure in selected urban areas, particularly for poor neighborhoods, an d increase resilience to natural hazards and other eligible crises.;Ministry of Urban Development and Housing (MINDUH);Yes;https://projects.worldbank.org/en/projects-operations/project-detail/P156210;2017-08-22T00:00:00Z;2024-03-31T00:00:00Z;;160000000
P149528;East Asia and Pacific;People's Republic of China;Active;CH-Second Gansu Cultural and Natural Heritage Protection and Development Project;To conserve cultural and natural heritage, enhance tourism services and improve community services in selected project sites in Gansu Province.;Gansu Culture Tourism Group, Co. Ltd (CTG);;https://projects.worldbank.org/en/projects-operations/project-detail/P149528;2017-02-24T00:00:00Z;2023-12-31T00:00:00Z;;160760000
P164090;Africa West;Republic of Niger;Active;Additional Financing Electricity Access Expansion Project;<p>The Project Development Objective (PDO) is to increase access to electricity.</p>;;;https://projects.worldbank.org/en/projects-operations/project-detail/P164090;2018-08-31T00:00:00Z;;;162000000
P156679;Africa West;Republic of Cameroon;Active;Health System Performance Reinforcement Project;The new Project Development Objective (PDO) is to: (i) increase utilization and improve the quality of health services with a partic ular focus on reproductive, maternal, child and adolescent health, and nutritional services for the population of Cameroon, includin g refugees and refugee host communities, and (ii) in the event of an Eligible Emergency, to provide immediate and effective response  to said Eligible Emergency;Ministry of Public Health;;https://projects.worldbank.org/en/projects-operations/project-detail/P156679;2016-05-03T00:00:00Z;2022-12-31T00:00:00Z;;163000000
P156484;Africa West;Republic of Guinea;Active;Additional Financing Productive Social Safety Nets Project;The Project Development Objective (PDO) is to provide income support to vulnerable groups and to lay the foundations of a socialsafety net strategy by testing some of the building blocks necessary for a larger system.;Cellule Filets Sociaux;;https://projects.worldbank.org/en/projects-operations/project-detail/P156484;2016-05-31T00:00:00Z;;;16350000
P173012;Latin America and Caribbean;Jamaica;Active;Jamaica Catastrophe Bond for increased Financial Resilience to Natural Disasters and Climate Shocks;To expand Jamaica's financial protection against losses arising from severe tropical cyclones-wind.;Ministry of Finance and the Public Service;;https://projects.worldbank.org/en/projects-operations/project-detail/P173012;2021-06-23T00:00:00Z;2024-06-21T00:00:00Z;;16365000
P149952;Europe and Central Asia;Georgia;Active;East-West Highway Corridor Improvement;"<p>The proposed PDOs are to: (i) reduce road user costs along the East-West Highway Corridor section upgraded under the project; and  (ii) strengthen the capacity of the Roads Department and the Ministry of Economy and Sustainable Development to respectively manage  the road network and provide an enabling environment to improve logistics services.</p>";Roads Department of the Ministry of Regional Development and Infrastructure (RDMRDI);;https://projects.worldbank.org/en/projects-operations/project-detail/P149952;2015-12-03T00:00:00Z;2023-12-31T00:00:00Z;;164000000
P153836;Africa East;Democratic Republic of the Congo;Active;DRC High Prirority Roads Reopening and Maintenance - 2nd Additional Fin;The objective of the project is to re-establish lasting road access between provincial capitals, districts and territories, in the Project impact area in a manner that is sustainable for the natural environment;;;https://projects.worldbank.org/en/projects-operations/project-detail/P153836;2016-02-18T00:00:00Z;;;164200000
P172562;Europe and Central Asia;Republic of Turkey;Active;Turkey Resilient Landscape Integration Project (TULIP);The project development objective is to strengthen integrated landscape management and increase access to improved livelihood opport unities and resilient infrastructure services for rural communities in targeted areas of Turkey.;General Directorate of Forestry (OGM), General Directorate of Agricultural Reform (TRGM), State Hydraulic Works (DSI), General Directorate of Highways (KGM);;https://projects.worldbank.org/en/projects-operations/project-detail/P172562;2021-06-09T00:00:00Z;2028-05-31T00:00:00Z;;164597000
P156412;South Asia;Islamic Republic of Pakistan;Active;Federally Administered Tribal Areas (FATA) Governance and Policy Program;The Project Development Objective (PDO) is to strengthen the capacity of staff in the Merged Areas to manage public resources, and i mproved accountability in the delivery of public services.;Planning and Development Department,  Government of Khyber-Pakhtunkhwa;;https://projects.worldbank.org/en/projects-operations/project-detail/P156412;2016-12-02T00:00:00Z;2022-06-30T00:00:00Z;;16500000
P148647;East Asia and Pacific;Kingdom of Cambodia;Active;Mekong Integrated Water Resources Management Project- Phase III;The project development objective of the Mekong Integrated Water Resources Management Project Phase III is to establish the foundati on for effective water resource and fisheries management in project areas in the northeast of Cambodia.;Cambodia National Mekong Committee (CNMC), Fisheries Administration of Cambodia (FIA);;https://projects.worldbank.org/en/projects-operations/project-detail/P148647;2016-05-19T00:00:00Z;2022-05-31T00:00:00Z;;16500000
P167814;Africa East;Republic of Kenya;Active;Second Kenya Informal Settlements Improvement Project;To improve access to basic services and tenure security of residents in participating urban informal settlements and strengthen inst itutional capacity for slum upgrading in Kenya.;State Department of Housing and Urban Development;No;https://projects.worldbank.org/en/projects-operations/project-detail/P167814;2020-08-07T00:00:00Z;2025-07-31T00:00:00Z;;165000000
P173788;Africa West;Republic of Ghana;Active;Ghana COVID-19 Emergency Preparedness and Response Project;To prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in Gha na;Ghana Health Services, Ministry of Health;;https://projects.worldbank.org/en/projects-operations/project-detail/P173788;2020-04-02T00:00:00Z;2023-06-30T00:00:00Z;;165000000
P151072;South Asia;Republic of India;Active;National Agricultural Higher Education Project;The objective of the Project is to support Participating Agricultural Universities and ICAR in providing more relevant and higher qu ality education to Agricultural University students.;Indian Council of Agricultural Research;TBD;https://projects.worldbank.org/en/projects-operations/project-detail/P151072;2017-08-03T00:00:00Z;2022-11-30T00:00:00Z;;165000000
P154002;Other;World;Active;Global Development Awards and Medals;The objective of the Global Development Awards Competition is to support the research capacity development of economics and social science researchers and fund innovative social development projects benefiting marginalized groups in the developing world;;;https://projects.worldbank.org/en/projects-operations/project-detail/P154002;2015-01-05T00:00:00Z;2022-06-30T00:00:00Z;;1656828
P169833;Other;World;Active;Global Development Network Awards;The objective of the Global Development Awards Competition (hereafter ‘the Awards Competition’, or ‘the Awards’) is to support the r esearch capacity development of economics and social science researchers, and fund innovative social development projects benefiting  marginalized groups in the developing world. The aim is to ensure sustainability by fostering the replication and scaling-up of the se innovative development projects through other funding sources.;Global Development Network;No;https://projects.worldbank.org/en/projects-operations/project-detail/P169833;2020-05-07T00:00:00Z;2026-06-30T00:00:00Z;;1657977
P152066;East Asia and Pacific;Lao People's Democratic Republic;Active;Second Lao Environment and Social Project (Additional Financing to the Protected Area and Wildlife Project);The objective of the Project is to help strengthen selected environmental protection management systems, specifically for protected areas conservation, enforcement of wildlife laws and environmental assessment management.;;;https://projects.worldbank.org/en/projects-operations/project-detail/P152066;2015-04-29T00:00:00Z;;;16600000
P155303;South Asia;Republic of India;Active;Madhya Pradesh Urban Development Project;The project development objective (PDO) is to enhance the capacity of MPUDC to improve coverage of key urban services and increase t he revenue of participating urban local bodies.;Urban Development and Environment Department, Govt. of Madhya Pradesh;;https://projects.worldbank.org/en/projects-operations/project-detail/P155303;2017-04-12T00:00:00Z;2022-12-31T00:00:00Z;;166000000
